id,party
329,The Republicans
5829,La France insoumise
10287,Valents
329,Union of Democrats for the Republic
329,Rally for the Republic
329,Union for a Popular Movement
10287,Socialist Party
7711,Socialist Party
12955,MoDem
2185,Union of Democrats for the Republic
2038,Democratic and Socialist Union of the Resistance
12940,Rally for the Republic
12940,Radical-Socialist and Radical Republican Party
2038,Convention of Republican Institutions
2038,Socialist Party
2105,Union for a Popular Movement
2105,French Communist Party
2038,Federation of the Democratic and Socialist Left
2105,Union for the New Republic
12946,French Section of the Workers' International
2105,The Republicans
2105,Union of Democrats for the Republic
2042,Rally of the French People
2105,Rally for the Republic
2124,Union for French Democracy
12946,Socialist Party
12946,Unified Socialist Party
12956,Socialist Party
2042,Union of Democrats for the Republic
12940,Rally of the French People
2124,Independent Republicans
12940,Union for the New Republic
2185,Rally of the French People
2185,Union for the New Republic
12940,Union of Democrats for the Republic
27182,Union for a Popular Movement
12963,MoDem
12963,Union for French Democracy
63263,The Republicans
63628,Libres
63628,Union for French Democracy
63263,Union for French Democracy
58130,Union for a Popular Movement
12959,Rally for the Republic
63275,Socialist Party
63275,Unified Socialist Party
58130,Rally for the Republic
63618,Union for a Popular Movement
12959,Union for a Popular Movement
63618,Rally for the Republic
63628,French Republican Party
64463,Agir
63628,Union for a Popular Movement
63628,Liberal Democracy
63263,Union for a Popular Movement
63263,Liberal Democracy
49767,Ultra-royalist
15981,Popular Republican Movement
15981,Lorrain Republican Union
15981,Popular Democratic Party
12957,Union for French Democracy
18434,French Section of the Workers' International
44119,Orléanism
993472,Union for a Popular Movement
993472,Renaissance
993472,The Republicans
3159636,Radical Party of the Left
6755549,MoDem
3174139,French Republican Party
642640,Union for a Popular Movement
642640,Liberal Democracy
3380839,French Republican Party
3174139,Union for a Popular Movement
3380839,Liberal Democracy
3502105,Socialist Party
3174139,Union for French Democracy
3380839,Union for French Democracy
30459912,Renaissance
960150,Socialist Party
3300286,Radical-Socialist and Radical Republican Party
434932,Orléanism
3142009,Union of Democrats for the Republic
318337,Doctrinaires
3171883,Democratic Republican Alliance
3023401,Popular Liberal Action
3188453,Tiers parti
284683,Orléanism
366016,Union for a Popular Movement
366016,Union for French Democracy
436173,Rally for the Republic
871444,Action Française
871444,Rally of the French People
871444,Union for the New Republic
1379752,Union for a Popular Movement
441626,Union for a Popular Movement
871444,Popular Republican Movement
559040,Territories of Progress
101410,The Republicans
871444,Union of Democrats for the Republic
247924,MoDem
437405,Socialist Party
441626,Rally for the Republic
379229,Socialist Party
379229,Unified Socialist Party
960643,Socialist Party
707980,French Republican Party
247924,Renaissance
707980,Union for a Popular Movement
707980,Union for French Democracy
436173,Union for a Popular Movement
198005,Socialist Party
268660,Socialist Party
559040,Socialist Party
439594,Union for a Popular Movement
517072,Independent Republicans
929334,Union of Democrats for the Republic
517072,National Centre of Independents and Peasants
929334,Rally for the Republic
713487,Radical-Socialist and Radical Republican Party
771097,independent politician
929334,French Section of the Workers' International
670809,Socialist Party
670809,Unified Socialist Party
191974,Democratic Republican Alliance
670809,Radical-Socialist and Radical Republican Party
223949,Rally for the Republic
151164,Rally of the French People
929334,Union for the New Republic
318391,French Popular Party
2897580,Union for French Democracy
3121895,Radical-Socialist and Radical Republican Party
206433,National Liberation Front
206433,Algerian People's Party
151983,Socialist Party of France
3083773,Radical Party of the Left
2842375,French Communist Party
151983,French Section of the Workers' International
206433,Movement for the Triumph of Democratic Liberties
1750410,Radical-Socialist and Radical Republican Party
2925411,Renaissance
2925411,Socialist Party
3332699,Renaissance
3332699,Socialist Party
3100615,MoDem
2942097,Rally for the Republic
2020823,Territories of Progress
461454,Republican and Socialist Left
228977,Socialist Party
274689,Socialist Party
274689,Unified Socialist Party
2020823,Socialist Party
203793,Union for a Popular Movement
203793,The Republicans
3328127,Renaissance
203793,Rally for the Republic
446170,Socialist Party
2942097,Union for a Popular Movement
2942097,Horizons
2942097,The Republicans
271537,Union for a Popular Movement
461454,Socialist Party
271537,Christian Democratic Party
713296,Socialist Party
271537,Union for French Democracy
372652,Legitimism
372652,Feuillant
438465,Union for a Popular Movement
438465,The Republicans
2853464,monarchism
438465,Rally for the Republic
930418,Renaissance
930418,Socialist Party
930418,Unified Socialist Party
217070,Socialist Party
560890,Socialist Party
230861,Socialist Party
560890,Young Radicals of the Left
2871604,French Section of the Workers' International
271822,Union of Democrats for the Republic
298355,Socialist Party
298355,Unified Socialist Party
2624477,Republican Federation
214407,Democratic Party of Côte d'Ivoire – African Democratic Rally
271822,Rally for the Republic
312026,National Rally
381187,French Section of the Workers' International
1938509,National Republican Alliance
296064,Radical Party
2897714,Union for the New Republic
2496489,Union of Democrats for the Republic
2624477,Democratic and Republican Union
2624477,Republican Independents
296386,Rally of the French People
431074,French Section of the Workers' International
296386,Union for the New Republic
431074,Republican-Socialist Party
298355,French Section of the Workers' International
2496489,Rally for the Republic
2821348,Alliance for the Republic
1450903,independent politician
274344,Radical Party
296386,Union of Democrats for the Republic
455040,Union for a Popular Movement
312034,Union for the New Republic
296386,Rally for the Republic
296386,Radical-Socialist and Radical Republican Party
455040,Union for French Democracy
2871604,Socialist Party
317957,Moderate Republicans
2897714,Independent Republicans
274344,Radical-Socialist and Radical Republican Party
312034,Union of Democrats for the Republic
312026,Popular Republican Movement
312034,Rally for the Republic
271822,Union for the New Republic
2624477,French Social Party
1938509,National Liberation Front
20020731,Territories of Progress
20089181,Union for a Popular Movement
20089181,Renaissance
20089181,The Republicans
33106414,Renaissance
33106414,Socialist Party
20020731,Renaissance
3074013,Socialist Party
3167954,Renaissance
1470586,Union for a Popular Movement
11984595,Renaissance
11984595,Socialist Party
1379752,Rally for the Republic
1470586,Rally for the Republic
22683089,Socialist Party
1940443,Independent Republicans
1394083,French Republican Party
1940443,French Republican Party
1685157,Union of Democrats for the Republic
1394083,Union for French Democracy
1685157,Rally for the Republic
3384481,Republican-Socialist Party
3579872,Democratic Republican Alliance
2841164,French Communist Party
2841164,National Liberation Front
3386156,Radical Party
1940443,Union for French Democracy
3158801,"Centre, Democracy and Progress"
30349408,Union for a Popular Movement
30349408,Renaissance
30497954,Renaissance
30348845,Agir
30130489,Renaissance
3426925,Socialist Party
18202528,The Republicans
63764562,The Republicans
3571955,Republican Party
63764562,Union for French Democracy
30339350,Renaissance
30339350,Socialist Party
21294706,Socialist Party
33142338,independent politician
33230494,Renaissance
3474776,Call for Tunisia
63764562,Centre of Social Democrats
30344625,Renaissance
3571955,Afek Tounes
