id,name,gender,birth,death
329,Nicolas Sarkozy,male,1955-01-28T00:00:00Z,
5829,Jean-Luc Mélenchon,male,1951-08-19T00:00:00Z,
10287,Manuel Valls,male,1962-08-13T00:00:00Z,
7711,Jean-Marc Ayrault,male,1950-01-25T00:00:00Z,
12955,Michel Mercier,male,1947-03-07T00:00:00Z,
2185,Georges Pompidou,male,1911-07-05T00:00:00Z,1974-04-02T00:00:00Z
2038,François Mitterrand,male,1916-10-26T00:00:00Z,1996-01-08T00:00:00Z
12940,Jacques Chaban-Delmas,male,1915-03-07T00:00:00Z,2000-11-10T00:00:00Z
5721,Philippe Pétain,male,1856-04-24T00:00:00Z,1951-07-23T00:00:00Z
2105,Jacques Chirac,male,1932-11-29T00:00:00Z,2019-09-26T00:00:00Z
12946,Michel Rocard,male,1930-08-23T00:00:00Z,2016-07-02T00:00:00Z
2042,Charles de Gaulle,male,1890-11-22T00:00:00Z,1970-11-09T00:00:00Z
2124,Valéry Giscard d'Estaing,male,1926-02-02T00:00:00Z,2020-12-02T00:00:00Z
12956,Gérard Collomb,male,1947-06-20T00:00:00Z,2023-11-25T00:00:00Z
27182,Rachida Dati,female,1965-11-27T00:00:00Z,
12963,François Bayrou,male,1951-05-25T00:00:00Z,
63263,Jean-Pierre Raffarin,male,1948-08-03T00:00:00Z,
63628,Dominique Bussereau,male,1952-07-13T00:00:00Z,
58130,Michèle Alliot-Marie,female,1946-09-10T00:00:00Z,
12959,Édouard Balladur,male,1929-05-02T00:00:00Z,
63275,Marylise Lebranchu,female,1947-04-25T00:00:00Z,
63618,Dominique Perben,male,1945-08-11T00:00:00Z,
64463,Franck Riester,male,1974-01-03T00:00:00Z,
18425,Marcellin Berthelot,male,1827-10-25T00:00:00Z,1907-03-18T00:00:00Z
49450,Simon Bernard,male,1779-04-28T00:00:00Z,1839-11-05T00:00:00Z
49767,François-Auguste-René de Chateaubriand,male,1768-09-04T00:00:00Z,1848-07-04T00:00:00Z
44481,Pierre-Simon Laplace.,male,1749-03-23T00:00:00Z,1827-03-05T00:00:00Z
15981,Robert Schuman,male,1886-06-29T00:00:00Z,1963-09-04T00:00:00Z
12957,Raymond Barre,male,1924-04-12T00:00:00Z,2007-08-25T00:00:00Z
18434,Léon Blum,male,1872-04-09T00:00:00Z,1950-03-30T00:00:00Z
12960,Michel Jobert,male,1921-09-11T00:00:00Z,2002-05-26T00:00:00Z
44119,François de Chabaud-Latour,male,1804-01-25T00:00:00Z,1885-06-10T00:00:00Z
64662,Francis Mer,male,1939-05-25T00:00:00Z,2023-10-31T00:00:00Z
52927,Charles XIV John of Sweden,male,1763-01-26T00:00:00Z,1844-03-08T00:00:00Z
17577,Joseph Gallieni,male,1849-04-24T00:00:00Z,1916-05-27T00:00:00Z
993472,Bruno Le Maire,male,1969-04-15T00:00:00Z,
