id,party
7326576,People's Action Party
337799,People's Action Party
3518218,People's Action Party
5520446,People's Action Party
38987,People's Action Party
72409737,People's Action Party
6504758,People's Action Party
1521378,People's Action Party
7093820,People's Action Party
6324008,People's Action Party
983752,People's Action Party
461128,People's Action Party
57643,People's Action Party
16215886,People's Action Party
5714209,People's Action Party
1984113,People's Action Party
313300,People's Action Party
7937671,People's Action Party
17722375,People's Action Party
5070296,People's Action Party
543664,People's Action Party
131248,People's Action Party
1577210,People's Action Party
703209,People's Action Party
58142,People's Action Party
6548691,People's Action Party
2368196,People's Action Party
4354964,People's Action Party
7387540,People's Action Party
16204683,People's Action Party
