id,name,gender,birth,death
7326576,Richard Hu,male,1926-10-30T00:00:00Z,2023-09-08T00:00:00Z
337799,S. Rajaratnam,male,1915-02-25T00:00:00Z,2006-02-22T00:00:00Z
3518218,Teo Chee Hean,male,1954-12-27T00:00:00Z,
5520446,Gan Kim Yong,male,1952-12-08T00:00:00Z,
38987,Tony Tan Keng Yam,male,1940-02-07T00:00:00Z,
72409737,Tan See Leng,male,1964-12-24T00:00:00Z,
6504758,Lawrence Wong,male,1972-12-18T00:00:00Z,
1521378,S. Jayakumar,male,1939-08-12T00:00:00Z,
7093820,Ong Ye Kung,male,1969-11-15T00:00:00Z,
6324008,K. Shanmugam,male,1959-03-26T00:00:00Z,
983752,Tharman Shanmugaratnam,male,1957-01-22T00:00:00Z,
461128,Wong Kan Seng,male,1946-09-08T00:00:00Z,
57643,Lee Hsien Loong,male,1952-02-10T00:00:00Z,
16215886,Desmond Lee,male,1976-07-15T00:00:00Z,
5714209,Heng Swee Keat,male,1961-11-01T00:00:00Z,
1984113,Ng Eng Hen,male,1958-12-10T00:00:00Z,
313300,Goh Chok Tong,male,1941-05-20T00:00:00Z,
7937671,Vivian Balakrishnan,male,1961-01-25T00:00:00Z,
17722375,Masagos Zulkifli,male,1963-04-16T00:00:00Z,
5070296,Chan Chun Sing,male,1969-10-09T00:00:00Z,
543664,Ong Teng Cheong,male,1936-01-22T00:00:00Z,2002-02-08T00:00:00Z
131248,Lee Kuan Yew,male,1923-09-16T00:00:00Z,2015-03-23T00:00:00Z
1577210,Lim Kim San,male,1916-11-30T00:00:00Z,2006-07-20T00:00:00Z
703209,Toh Chin Chye,male,1921-12-10T00:00:00Z,2012-02-03T00:00:00Z
58142,George Yeo,male,1954-09-13T00:00:00Z,
6548691,Lim Hng Kiang,male,1954-04-09T00:00:00Z,
2368196,S. Dhanabalan,male,1937-08-08T00:00:00Z,
4354964,Khaw Boon Wan,male,1952-12-08T00:00:00Z,
7387540,S. Iswaran,male,1962-06-14T00:00:00Z,
16204683,Josephine Teo,female,1968-07-08T00:00:00Z,
