id,position,country,start,until
5070296,Minister for Education,SG,2021-05-15T00:00:00Z,
1577210,Minister for Education,SG,1970-08-11T00:00:00Z,1972-09-15T00:00:00Z
6504758,Minister for Education,SG,2020-07-27T00:00:00Z,2021-05-14T00:00:00Z
5714209,Minister for Education,SG,2011-05-21T00:00:00Z,2015-09-30T00:00:00Z
3518218,Minister for Education,SG,1997-01-25T00:00:00Z,2003-07-31T00:00:00Z
983752,Minister for Education,SG,2003-08-01T00:00:00Z,2008-03-31T00:00:00Z
7093820,Minister for Education,SG,2018-05-01T00:00:00Z,2020-07-26T00:00:00Z
7093820,Minister for Education,SG,2015-10-01T00:00:00Z,2018-04-30T00:00:00Z
1984113,Minister for Education,SG,2008-04-01T00:00:00Z,2011-05-20T00:00:00Z
983752,Co-ordinating Minister for Economic and Social Policies,SG,2015-10-01T00:00:00Z,2023-07-07T00:00:00Z
6504758,Minister for Finance,SG,2021-05-15T00:00:00Z,
6504758,Prime Minister of Singapore,SG,2024-05-15T00:00:00Z,
16204683,Minister for Communications and Information,SG,2021-05-15T00:00:00Z,
16215886,Minister for National Development,SG,2020-07-27T00:00:00Z,
17722375,Minister-in-charge of Muslim Affairs,SG,2018-05-01T00:00:00Z,
1984113,Minister for Defence,SG,2011-05-21T00:00:00Z,
3518218,Co-ordinating Minister for National Security,SG,2011-05-21T00:00:00Z,
17722375,Minister for Social and Family Development,SG,2020-07-27T00:00:00Z,
7093820,Minister for Health,SG,2021-05-15T00:00:00Z,
5520446,Minister for Trade and Industry,SG,2021-05-15T00:00:00Z,
5591179,Minister for Sustainability and the Environment,SG,2020-07-27T00:00:00Z,
6324008,Minister for Home Affairs,SG,2015-10-01T00:00:00Z,
7937671,Minister for Foreign Affairs,SG,2015-10-01T00:00:00Z,
6026908,Minister in the Prime Minister's Office,SG,2018-05-01T00:00:00Z,
6743667,Minister in the Prime Minister's Office,SG,2020-07-27T00:00:00Z,
5346875,"Minister for Culture, Community and Youth",SG,2020-07-27T00:00:00Z,
5714209,Deputy Prime Minister of Singapore,SG,2019-05-01T00:00:00Z,
1577210,Minister for Communications and Information,SG,1976-12-31T00:00:00Z,1978-06-30T00:00:00Z
337799,Minister for Manpower,SG,1968-04-16T00:00:00Z,1971-07-04T00:00:00Z
337799,Deputy Prime Minister of Singapore,SG,1980-06-01T00:00:00Z,1985-01-01T00:00:00Z
337799,"Minister for Culture, Community and Youth",SG,1959-06-05T00:00:00Z,1965-08-12T00:00:00Z
1577210,Minister for Finance,SG,1965-08-09T00:00:00Z,1967-08-16T00:00:00Z
337799,Minister for Foreign Affairs,SG,1965-08-09T00:00:00Z,1980-06-01T00:00:00Z
1577210,Minister for the Interior and Defence of Singapore,SG,1967-08-17T00:00:00Z,1970-08-10T00:00:00Z
543664,Deputy Prime Minister of Singapore,SG,1985-01-02T00:00:00Z,1993-09-01T00:00:00Z
7326576,Minister for Health,SG,1985-01-01T00:00:00Z,1987-01-01T00:00:00Z
1577210,Minister for National Development,SG,1963-10-19T00:00:00Z,1965-08-08T00:00:00Z
1577210,Minister for National Development,SG,1976-12-31T00:00:00Z,1979-01-31T00:00:00Z
7326576,Minister for Finance,SG,1985-01-02T00:00:00Z,2001-11-10T00:00:00Z
1577210,Minister for Sustainability and the Environment,SG,1972-09-16T00:00:00Z,1975-06-01T00:00:00Z
1577210,Minister for Sustainability and the Environment,SG,1979-02-01T00:00:00Z,1981-01-06T00:00:00Z
7937671,"Minister for Culture, Community and Youth",SG,2004-08-12T00:00:00Z,2011-05-20T00:00:00Z
7937671,Minister for Transport,SG,2019-02-25T00:00:00Z,2019-04-05T00:00:00Z
7387540,Minister in the Prime Minister's Office,SG,2011-05-21T00:00:00Z,2015-09-30T00:00:00Z
5520446,Minister for Manpower,SG,2009-04-01T00:00:00Z,2011-05-20T00:00:00Z
