id,position,country,start,until
329,Minister of Culture (France),FR,1994-07-19T00:00:00Z,1995-05-11T00:00:00Z
5829,minister delegate,FR,2000-03-27T00:00:00Z,2002-05-06T00:00:00Z
10287,Minister of the Interior of France,FR,2012-05-16T00:00:00Z,2014-03-31T00:00:00Z
329,Minister of the Interior of France,FR,2002-06-17T00:00:00Z,2004-03-30T00:00:00Z
329,Minister of the Interior of France,FR,2002-05-07T00:00:00Z,2002-06-17T00:00:00Z
329,Minister of the Interior of France,FR,2005-06-02T00:00:00Z,2007-03-26T00:00:00Z
329,"Minister of the Economy, Finances and Industry",FR,2004-03-31T00:00:00Z,2004-11-29T00:00:00Z
10287,Prime Minister of France,FR,2014-03-31T00:00:00Z,2016-12-06T00:00:00Z
7711,Minister of Foreign Affairs,FR,2016-12-06T00:00:00Z,2017-05-15T00:00:00Z
12955,Minister of Justice,FR,2010-11-14T00:00:00Z,2012-05-10T00:00:00Z
7711,Prime Minister of France,FR,2012-05-15T00:00:00Z,2014-03-31T00:00:00Z
2185,Prime Minister of France,FR,1962-04-14T00:00:00Z,1968-07-10T00:00:00Z
2038,Minister of the Interior of France,FR,1954-06-19T00:00:00Z,1955-02-23T00:00:00Z
12940,Prime Minister of France,FR,1969-06-20T00:00:00Z,1972-07-06T00:00:00Z
5721,Minister of State,FR,1935-06-01T00:00:00Z,1935-06-04T00:00:00Z
2038,Minister of Justice,FR,1947-01-22T00:00:00Z,1947-10-22T00:00:00Z
2038,Minister of Justice,FR,1956-02-01T00:00:00Z,1957-06-13T00:00:00Z
2105,Prime Minister of France,FR,1986-03-20T00:00:00Z,1988-05-10T00:00:00Z
2105,Prime Minister of France,FR,1974-05-27T00:00:00Z,1976-08-25T00:00:00Z
12946,Minister of Agriculture of France,FR,1984-07-17T00:00:00Z,1985-04-04T00:00:00Z
12946,Minister of Agriculture of France,FR,1983-03-22T00:00:00Z,1984-07-17T00:00:00Z
2038,Minister of European Affairs of France,FR,1953-06-28T00:00:00Z,1953-09-04T00:00:00Z
2042,Prime Minister of France,FR,1959-01-08T00:00:00Z,1959-01-08T00:00:00Z
2124,"Minister of the Economy, Finances and Industry",FR,1962-04-15T00:00:00Z,1962-12-07T00:00:00Z
